 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1969 |  fa_1970 |  fa_1971 |  fa_1972 |  fa_1973 |  fa_1974 |  fa_1975 |  fa_1976 |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1969 |  all_1970 |  all_1971 |  all_1972 |  all_1973 |  all_1974 |  all_1975 |  all_1976 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 2 | Liszt, Harvey Steven | PRINCETON UNIVERSITY. | 1974 | male | 7 | 90 | 2017 | 10 | 126 | 2017 | 0 | 1 | 1 | 2 | 0 | 3 | 2 | 0 | 2 | 4 | 2 | 1 | 4 | 2 | 2 | 2 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 5 | 3 | 7 | 1 | 2 | 1 | 1 | 1 | 3 | 3 | 2 | 2 | 0 | 5 | 2 | 3 | 3 | 1 | 1 | 4 | 1 | 3 | 2 | 3 | 0 | 1 | 3 | 3 | 0 | 3 | 4 | 1 | 3 | 7 | 3 | 1 | 4 | 2 | 4 | 4 | 5 | 2 | 1 | 0 | 3 | 0 | 0 | 5 | 7 | 4 | 8 | 2 | 2 | 2 | 1 | 3 | 3 | 4 | 2 | 2 | 0 | 5 | 2 | 4 | 3 | 1 | 1 | 4 | 1 | 3 | 5 | 3 |
 3 | Baker, Louis | COLUMBIA UNIVERSITY. | 1974 | male | 1 | 6 | 2002 | 2 | 15 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |
 7 | Leich, Douglas Albert | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1974 | male | 5 | 5 | 1977 | 5 | 8 | 1989 | 0 | 0 | 0 | 0 | 2 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 11 | Kalnavarns, Juris | PRINCETON UNIVERSITY. | 1974 | male | 1 | 0 | 1974 | 1 | 0 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 12 | Lagus, Peter Leonard | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1974 | male | 1 | 0 | 1974 | 1 | 0 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 15 | Geballe, Thomas Ronald | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1974 | male | 6 | 58 | 2017 | 11 | 385 | 2017 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 1 | 2 | 1 | 3 | 2 | 4 | 2 | 4 | 2 | 3 | 1 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 1 | 1 | 4 | 1 | 1 | 1 | 3 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 3 | 4 | 1 | 1 | 3 | 0 | 7 | 1 | 5 | 4 | 5 | 5 | 5 | 11 | 9 | 10 | 21 | 12 | 17 | 7 | 13 | 13 | 14 | 15 | 20 | 13 | 19 | 13 | 8 | 18 | 9 | 10 | 13 | 11 | 16 | 4 | 8 | 15 | 5 | 4 | 8 | 2 | 5 | 3 |
 16 | Geller, Margaret Joan | PRINCETON UNIVERSITY. | 1974 | female | 3 | 32 | 2016 | 3 | 258 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 2 | 4 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 3 | 1 | 6 | 1 | 1 | 0 | 4 | 7 | 8 | 3 | 7 | 1 | 5 | 5 | 6 | 5 | 5 | 8 | 14 | 10 | 11 | 7 | 7 | 8 | 7 | 10 | 4 | 4 | 5 | 8 | 6 | 7 | 5 | 3 | 10 | 1 | 10 | 9 | 11 | 11 | 10 |
 25 | Holberg, Jay Brian | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1974 | male | 3 | 42 | 2016 | 5 | 177 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 2 | 2 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 7 | 1 | 2 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 6 | 3 | 5 | 4 | 5 | 6 | 1 | 6 | 5 | 7 | 2 | 10 | 10 | 15 | 6 | 10 | 5 | 5 | 2 | 5 | 3 | 5 | 5 | 7 | 2 | 2 | 3 | 2 | 1 | 2 | 3 | 4 | 6 | 1 | 3 |
 33 | Clements, Arthur Earhart | THE UNIVERSITY OF ARIZONA. | 1974 | male | 2 | 0 | 1974 | 5 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 36 | Veeder, Glenn J. | California Institute of Technology | 1974 | male | 5 | 19 | 2015 | 5 | 68 | 2015 | 0 | 1 | 0 | 0 | 0 | 4 | 0 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 4 | 2 | 2 | 3 | 2 | 1 | 2 | 3 | 1 | 3 | 3 | 4 | 5 | 5 | 4 | 2 | 0 | 0 | 1 | 0 | 2 | 4 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 3 | 0 | 2 | 2 | 0 |
